pair,phase,step,full_hvp_norm,response_hvp_norm,cosine,relative_error,status
gpt2,stage0,10,8.611284475081515e-05,8.611179712738574e-05,0.9999999444242768,0.00033361369760528877,PASS
gpt2,stage1,20,0.0006895006352062333,0.0006894971508864756,0.999999903402876,0.0004395666145568632,PASS
gpt2,stage1,40,0.000893522539115693,0.0008935367082552415,0.9999998694029283,0.0005113215721685202,PASS
gpt2,stage1,60,0.0007028319230875527,0.0007028716526077468,0.9999999146467513,0.0004170270209317984,PASS
gpt2,stage1,80,7.472519059951905e-05,7.472466248487036e-05,0.9999999661814246,0.00026016652550645854,PASS
gpt2,stage1,100,5.819784496222911e-07,5.819784496222911e-07,0.9999999999999999,0.0,PASS
opt,stage0,10,0.002702165252285931,0.002702165252285931,1.0,0.0,PASS
opt,stage1,20,0.0035834015492327512,0.0035834015492327512,1.0,0.0,PASS
opt,stage1,40,0.003670266706195836,0.003670266706195836,1.0,0.0,PASS
opt,stage1,60,0.0011475221253089095,0.0011475221253089095,1.0000000000000002,0.0,PASS
opt,stage1,80,0.00024924367229300145,0.000249242074090167,0.9999999536908386,0.0003043991551626705,PASS
opt,stage1,100,1.1289864038289274e-06,1.1289838025635533e-06,0.9999999938614321,0.00011082606504236269,PASS
pythia,stage0,10,0.036388941368003115,0.03638867042845747,0.9999999638571484,0.0002689620842572685,PASS
pythia,stage1,20,0.019957546174013005,0.019915358586372733,0.9996316200983336,0.027196889947755834,FAIL
