pair,step,target_correction_positive,draft_nonfallback,atomic_fallback,strict_lambda,mechanism_seconds,carrier_seconds,mechanism_carrier_ratio,peak_memory_bytes
gpt2,20,True,True,False,0.0625,183.2477021208033,0.17962320987135172,1020.178306868291,2435514880
gpt2,40,True,True,False,1.0,124.78332961630076,0.24318858236074448,513.1134381596827,2453486080
gpt2,60,True,True,False,0.5,138.42705312091857,0.16624971572309732,832.6453523173556,2422430720
gpt2,80,True,True,False,1.0,136.55942559987307,0.31032704561948776,440.05002956563925,2476306432
gpt2,100,False,False,True,0.0,102.80257418286055,0.14756088424474,696.6790332616557,2435514880
opt,20,False,False,True,0.0625,190.89548163302243,0.39993537310510874,477.315822681312,3963427328
opt,40,True,True,False,1.0,141.82274979911745,0.44624470453709364,317.8138549481175,3895729152
opt,60,True,True,False,1.0,164.22022103425115,0.6621045507490635,248.02762773411345,3941708288
opt,80,True,True,False,0.25,125.35635131411254,0.5530650336295366,226.65752432666147,3917763584
opt,100,False,False,True,1.0,95.17240204382688,0.3721417197957635,255.74236099101924,3984481280
